Review,Sentiment
Lekin top of the list Attaullah Esakhelvi ka naam he samjha jata hai,Positive
"Jin ki ibtedai zindagi aur urooj ki daastan qabil e rashk bhi hai, dilchasp bhi aur kar hawalon se qabil e taqleed bhi",Positive
In mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya,Positive
Jab school teachers ne in ki awaaz suni to Mukesh aur Rafi ke songs ki farmaiysh karne lage aur hausla afzaai karne ke sath sath yeh dars bhi dete rehte ke singing na chorna,Positive
Wohi un ki infaradiyat bana,Positive
"Yahin qismat ki devi un par meharban hui aur “ Rehmat Gramophone House ” naami aik company ne un ke songs ki recording ki… “ Udhar Zindagi Ka Janaza Uthega ” aur Saraiki geet “ Naki Jae Gal Tu Rus Naa Ae Dhola ” ( Choti si baat par naraz ho jate ho maahi ), jab market mein aae to jaise hulchul mach gai",Positive
Har taraf ataullah Niazi ki singing ka charcha hone laga,Positive
Lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya,Positive
Radio aur TV jo maand parhte sitaron ki kafalat he nahi bal ke ubharte hue artists ke hausla afzaai ki riwayaat bhi rakhte hain,Positive
"Lekin dosri taraf village, dehaat, qasbon, buses, wagons aur chae khano mein Attaullah Esakhelvi ki awaaz ka tota bol raha tha",Positive
Taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke Attaullah Esakhelvi ki cassette lagaoge ?Mianwali ke logon ne inhe bataya ke tumhare naam se Esakhel mein hotel khul gae hain,Positive
"Jagah jagah tumhari taswirein lagi hain aur Mianwali mein sirf tumhari cassette he farokht hoti hai, to Attaullah Esakhelvi ne phir Esakhel jane ka qasd kiya",Positive
Phir yeh hua ke radio Pakistan ke farmaishi naghmon ke programs mein 90 % log Attaullah Esakhelvi ke songs ki farmaiysh karte,Positive
Radio hukkam par bhi is hawale se dabao dala jata ke wo apni nashriyat mein Attaullah Esakhelvi ko madaoo karen aur aakhirkar majboor ho kar Attaullah Esakhelvi se radio Pakistan aane ki darkhuwast karni parhi,Positive
70 ki dehaai ka yeh wo zamana tha jab Attaullah Esakhelvi aik cassette ki recording ka muaawza 1 lac rupees liya karte the,Positive
"Tahum radio par songs ka muaawza inhe 60 rupey ka cheque mila, jo inho ne cash nahi karwaya aur aaj tak sambhal kar rakha hua hai",Positive
Sirf yehi nahi bal ke radio par recording se qabal inhe audition ( Awaaz Ki Qaulity ka Imtehaan ) kea mal se bhi guzarna parha,Positive
"Phir aahista aahista un ki singing ne tabqa ishrafia ke drawing rooms, cars ke sound systems aur video libraries mein jagah bana li",Positive
Beron e mulk basne wale Pakistani jab Watan aate to doston aur aehbaab ki farmaiysh pori karne ke liye barhi tadaad mein in ke cassette tohfatan le kar jate,Positive
Is tarah Europe aur Mashriq Wastee mein bhi wo Pakistan ki aik manoos aur maqbool awaaz ban gae,Positive
1980 mein inho ne pehli martaba British ka tour kiya to wahan bhi dhoom macha di,Positive
Diyar e ghair mein basne wale in ke songs sunn kar apno ko yaad karte to in ki aankhon se aansoo rawaa’n ho jate,Positive
Naujawan ladke aur ladkiyan walihana raqs karte to gorey bhi be saakhti ke aalam mein in ka sath dete,Positive
England aamad o raft ka silsila shuru hua to aik Pakistani nasaad British ladki ko dil de bethe,Positive
Is tarah wo aaj tak sab ke Lala he hain,Positive
Yeh aezaaz ab tak Attaullah Esakhelvi ke paas he hai ke recording aur farokht hone wale cassettes mein sab se ziyada in ki singing ke he hote hain,Positive
Inho ne hukomat e Pakistan se tamgha e imtiaz hasil karne ke sath Malika British se life time achievement award bhi hasil kiya hai,Positive
1994 mein in ka naam sab se ziyada audio albums recorder karane wale singer ke hawale se Guinness Book of World record mein bhi darj tha,Positive
Torkham se Karachi tak truck drivers ka safar un ki awaaz ke sath hota hai,Positive
"President Ayyab Khan, Mohtarma Fatima Jinnah, baaz dosri shakhsiyat ki tasaweer to beshumaar trucks ke aqbii hisson par bani nazar aati hain, Lekin Attaullah Esakhelvi mulk ke wo wahid artist hain jin se wabistegi ka izhaar buses aur trucks ke piche tasweer banwa kar bhi kiya jata hai",Positive
She played a fantastic role in the drama serial “ Aangan Terha ” with Shakeel Siddiqui and Saleem Nasir ( Late ),Positive
Bushra ansari received many more different prizes and awards in her life,Positive
She received an award of Pride of performance and Women life achievement award from Benazir Bhutto,Positive
She won the PTV award and Lux style award also,Positive
Bushra ansari performed interesting role in the film “Abhi To Main Jawan Hon” from Geo TV,Positive
"Yeh beyk waqt actress, singer, host, comedian and drama nigaar ke taur par pehchani jati hain",Positive
Inka har andaaz munfarid aur har roop judagana hai,Positive
"sanjeeda acting, comedy, parody, singing, hosting aur ab drama nigari",Positive
Inho ne har field mein apna loha manwaya hai,Positive
Jis se in ki do betiyan hain,Positive
Intehai masroof aur mashoor fankara hone ke bawajood inho ne aik biwi aur maa ka role pori zimmedari se adaa kiya,Positive
Bushra apni family se bohat ziyada attached hain aur fursat ka tamam waqt ghar walon ke sath he guzarti hain,Positive
"Career : Bushra Ansari sirf 9 saal ki umer mein he PTV ke children music show, Kalbon ki Mala ki regular performer ban gai thin",Positive
 To Farooq Qiaser ne inhe apne show Kalliyan ke liye muntakhib kiya,Positive
Is ke ilawa wo show ke deegar roles ke liye bhi songs gaya karti thin,Positive
"Bunyadi taur par yeh bahon ka show tha, lekin ise har umar ke nazreen barhe shauq se dekha karte the",Positive
Bushra ne sab se pehle Iqbal Ansari ke aik drama mein acting ke johar dikhaey,Positive
Lekin Bushra ko sab se ziyada shohrat Anwar Maqsood ke show Shosha se mili,Positive
Jis mein bushra ne bijli ka role adaa kar ke meyla loot liya,Positive
Yeh character itna popular hua ke jab kabhi Bushra Ansari kisi show ke silsile mein beyron e mulk jati to in se bijli ka character karne ki farmaiysh ki jati,Positive
"Bushra Ansari ka aik aur aeham show Aangan Terha hai, jise Anwar Maqsood ne likha aur us mein inho ne Shakeel Siddiqui aur Saleem Nasir Marhoom ke hamrah yadgar performance di",Positive
Comedy shows ki bat ho to sab se pehle PTV ki tareekh ke maqbool tareen show Fifty Fifty ka naam zehan mein aata hai,Positive
is show ko maqboliyat ki bulandiyon tak pohnchane mein Jahan Ismail Tara aur Majid Jahangir ki lajawab performance ka dakhal tha to Bushra Ansari ne bhi apni parodies ke zariye is show ko kamiyab banane mein koi kasar na chori,Positive
inho ne chehre ke tasurrat aur body language ke zariye in roles mein jaan daal di,Positive
"Bushra Ansari ne har umer ke role adaa kiye hain, jin mein young, udherh aur old age sab he shamil hain",Positive
"Personality : Bushra Ansari ko sirf acting mein he malka hasil nahi, bal key eh aik shandar shakhsiyat ki bhi malik hain",Positive
Yeh guzishta 40 saal se mini screen par apni salahiyaton ke johar dikha rahi hain aur din ba din in ke har sitaron ki tadad mein izafa hota ja raha hai,Positive
kyun ke wo janti hain ke waqt ke sath sath apne kaam mein kya tabdeeli lai ja sakti hai,Positive
"dilchasp harkaat, dilkash personality aur khobsurat chehre ki malik Bushra Ansari har umar ke nazreen mein popular hain",Positive
Chand maah qabal inho ne Geo TV ke show Dolly ki Aaegi Baraat mein Saima Chaudhry ka role play kar ke is serial ko mazeed dilchasp bana diya,Positive
Yaar yeh be fitt ha.,Positive
Ap to hero ho  . Autograph do na 😂😂,Positive
Autograph milay ga ..zroooor milay ga,Positive
hahahaha ye acha hai :P,Positive
Apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr 😒😊,Positive
HAahah...han zroor....yar mjhe acha lgta jb yeh ese post krte,Positive
Hahahaa...qasmay dil ki awaz h meri ye page :-D,Positive
aala :D :D,Positive
app k dil ki bhi. :),Positive
buht achi bat kahi he,Positive
uff yeh apki paakbaaz soch :'),Positive
Cara Jvd bilkul aisa hi kuch main apko b kehna chahti hn :D,Positive
Hahaha wah saen wah 😂😂😂,Positive
Baari ap to famous ho gai hain ♥,Positive
Hahaha... ye time ni nikal skta... u r too demanding girl,Positive
Khushi se hori hy itne likes dekh k,Positive
Ufff dono kis trha parri hain :D:D chalo na krwao :p,Positive
Akhir student kis k hnnnnn...😂😉😂,Positive
Ji bilkul paisaaa wasooool comments,Positive
aap tau millionaire ban jaen gee,Positive
"Pskistani jawano, lagatay raho imran khan k doz. aik din number one per aa jAo gay
Tabdeeli",Positive
Hahaha  tum to hurr jaghaa famous ho <3,Positive
caption khass ap ky liye :'D,Positive
Saas bahu ka rishta Nawaz Sharif r mamnoon Hussain ko bhi peeche chore de 😂😂😂,Positive
"Apnay kharchay khudd uthaa saknay wali independent aurat ko, jo bghair kisi py depend kiye aur bghair kisi ki faaltu bakwaas sunay, (k g mein tou boht azeem aadmi hun k o biwi, tumhara kharcha uthaa rha hun) izzat k sath zindagi guzaar rhi ho, ussay kehtay hain kaamyaab aurat.",Positive
Meri nazr me kamyab orath wo he Jo khud mehnat or himmat kr k apna career bnaye or peso k lie kisi mrd ki mohtaj na ho.,Positive
...talaash jaari rakhein aap aik din kamyaab aurat banein gi..😂😂😂,Positive
Inshallah hum dono kaamyaab rhen apne naik iraadon mein😂😂😍..tune tou shiad dhond liya😂😂🤔ya abhi bhi talaash jaari😂😑,Positive
Pta Ni Kahan hoty Hain aese kamyab mard 😁,Positive
Hehehehehe unmarried hona chahiye bs 😁,Positive
Oooppss to phle bolti na dash mjhe lga Meri pysri dost mere liye soch rhi hai 😂🤣 chal tu rakh Lena😁,Positive
kamiyab aurat bnna chahti hun meri sadgi dikh mai kya chahti hun 😂😂,Positive
Mai khud kamyab bnna chahti ho samw khwab hai hmare yad nae tme😂,Positive
Meri jesi kamiyabiyan na karna tum log... go for a mzeed rich bitch!! ✌🏻,Positive
mil jae ga dnt worry,Positive
Dekho wo hum ny reject krdia na ye b kaamyabi hi hoti hai😂,Positive
32k mn kia hoga yr xD,Positive
Abhi 5o party shoro hoi he,Positive
Jo wife ko apni pay k mutabiq kharcha krae wohi kamyab mard hy,Positive
Hahaha  kal ki debate k baad kamyab aurat ka award aap ko jata hai,Positive
Hahahaha shukria shukria,Positive
yani hum dono kamyab hain 🤣🤣,Positive
kyn k tu khud ek kamyab aurat hai lol apni mehnat se 🤣🤣,Positive
mere pas kamyaab maa hai. 😂😂😂😂,Positive
Yeh tou hai mard apni biwi ki kismat say hi kamaata hai,Positive
Hum hun gay kamyab aik din ,Positive
Mene dhoundh lia akhir 💃👫 😛😉♥️😍  I m lucky 😁🤫,Positive
hum honga kamyab aiek din🙈🙈😂😂,Positive
Allah Tallah hama b aisa hi banda da 😂😂😂😂,Positive
hum 2no e kamyab hain 😀😀😀😀,Positive
wo kya hai k meiny apny kharchy mukhtasir krny ka soch liya hai🤣,Positive
hum kaamiyab hein 😉,Positive
Jab dono khameeyab Haan tou Bari kushe ki bat ha jasy men khmeeyab mard,Positive
Allah khair kay ga,Positive
Alhamdulillah me kamyab aurat,Positive
bilkul sahi kaha,Positive
bhai app kamyab hain 😂😝,Positive
Although ham nay apny kharchay kam kr liay han hahahahahahah,Positive
MashaALLAH ALLAH pak sb k leay acha keray ameen,Positive
ameen han sana no extravagence,Positive
bt dil ko achi lgi.,Positive
Point pe hy puray 😋,Positive
ye hoti hai kamyabi 😂,Positive
"Koi ni, perfectly imperfct tou mil jye ga😉",Positive
Mil jaye ga .... Apna dhondh ln phir tmhry leay b 😉,Positive
"Haha acha chlo koshish krna dono bhai hon, aur bara vala mra🤣",Positive
Haha pgl choty bhaie wali zyada faidy m hoty sb set hoa va milta jithani g 😂,Positive
"Har pal har dum azam hmara
Sb sy perfct jo vo shakhs hmara😂😂😂😂",Positive
Lkn phr b roub tou bari ka hi hota😂,Positive
Yr wesy mil k sb ko set kr dyn gyn 😂,Positive
Ptq ni ab set krengy ya khud set hongy😔,Positive
Bs sai wa swery fir uni da hostel done ay :-D,Positive
Haha idea bura nai tha wesy chalo nxt sae 😎,Positive
"Xactly,cup apna,spoon apna... SAKOON APNA ....😜😛",Positive
Aisaaa hi hai...,Positive
tere lye bday gft mil gya😉,Positive
koi issue nai bhale mera cup use karen 🤣 beta meri bottle b har koi use karta hai,Positive
Pyar bharta h ase,Positive
Kiaa pata behna shareef ho,Positive
shareef hi hai,Positive
tm dost ho yar keh skti ho,Positive
me idhr b aisi hun apko islamabad ka shak pra rehta🤣,Positive
Alhumdulilah ghalazat to nhi hai 😈😯👊👊👊👊👊,Positive
hahahhaahaha me to kahin sa b maesna ni lgta .tumhain pta ni kaisay lgta,Positive
Hahah hum bi apko sharif hi smjta han jnb,Positive
Haha Haha haye mei war jaon🤣🤣🤣,Positive
tm mere kch kehne se pehle he smjh jatay ho sb,Positive
Woh to MASHA'ALLAH se meri qabliat Hai.. ,Positive
Aur masoomiyat bhi ,Positive
ye apke liye likha gaya hai ... area per square eench :P,Positive
Bhai main ek shareef insan hon :-P,Positive
yd h aik mohtrma hua krti ti shareeef tareeen bibi 😂😂😂,Positive
Haha...mtlb main shareef nazar aati hun...😜😁,Positive
Wyse main shareef hun b...😂😉,Positive
no galazaat,Positive
Wo to shukar hy aesi technology ai nh abhi😂😂,Positive
shreef bcha,Positive
hn hn bohot shreef,Positive
Bolti rahu but ma messani ni,Positive
bht saaaf or shareeef hun koi ghalazat nai 😂,Positive
wah wah kia soch pyi hy shahneez😂,Positive
dair aye pr drust aye 😂😂,Positive
hi rabi tu kitni famous hu gai,Positive
😀 meray shareef dost,Positive
Hell true :-/ waday tusi sharif hunh,Positive
Han koi shak ni,Positive
pyari baat,Positive
....ap k liay kuch khoobsurat batain😎🤗,Positive
Haha dafa karo aj kal ghlazat sy door he rehta hun :-D,Positive
Ap b shreef hain isi leye mn apko shareef lgi 😊😂😂😂😂,Positive
Sahi Kaha😂😂,Positive
Shabash khabeesni ..sahi boli aik dum !!,Positive
Aur tm safai se kr jati ho 👊🏻👊🏻😒,Positive
Saif tumhry kapry nusrat api pehan sakti hain...nhi na... tu phir...,Positive
Moqay py choka,Positive
Sb hi mazay k hain,Positive
aja pilati😝😝,Positive
Janeman sari chizaaay kehlaooo gi treat pr,Positive
Dabba Khali is liye ho ga kyun k tum kha chuki ho gi na 😂😂😂,Positive
Sharab pin gy wd sheesha 😂😂😂 sutty lgain gy jani sutty,Positive
ye ly or fkr na kr hm 7 7 hain,Positive
Peene wala bann aja.. tujhy sahi se coca cola pilaoga..,Positive
Buri bat achhy bchchy galiyan nhi dety,Positive
nhe tum itna taradud na kro bus aj ka mera bill tumhari taraf sa ma na sasta ma maaf kea😎,Positive
ap mahaan ho ap india chaly jao 🤣,Positive
anum tum kini pyari ho,Positive
Bas bas bhan itna pyar na do samhala nae jay ga😂😂😂,Positive
aray is se b ziada don gi ane to do😄,Positive
Achha krti ho,Positive
Sae kha,Positive
Allah ka shuakr hy ye tw hum per 😂,Positive
changi gal hy,Positive
hum girls hn isliye judge kr skti hn but as a psychologist nhe kr sktien...ajeeb bat h😂😂 mem ko btaen gy hum kr skti hn judge bcoz we r girls😈😝,Positive
tab main tumain btao ge na 😂 aur bhe maza ae ga,Positive
ya ya.. they have all rights to do that with out any regret 😂,Positive
Hahhahaha kesy hm apny points ko defend krty hy use hm BBA krny k bad bhi lawyer bn skty hy 🤣🤣🤣🤣🤣,Positive
wo to hm bne bnaye hain 😉 😂😂,Positive
Hehehe bs kbhi Gharoor nhi keya😂😂,Positive
"Hahaha ap Tu bhot ""masoom"" Hain 😂😂",Positive
Don't care :-D..judge kro hamen or saro :-\,Positive
"our ""Aja khedeye"" is zada cute 😂😂",Positive
Uper waly portion will always welcome them😂,Positive
Hahaha a jaoo yahe kam best haii ab 😂😂😂,Positive
Or check kr hamari predictions almost such b niklti then :D hahaha,Positive
Or baray achay say Yeh kaam hum anjaam detay hain😄😂,Positive
bs dehko urdu agye parhna :')😂😂❤,Positive
Hehehehe wo b spcl logn koo judge kia jataa naa meshhhhiii proud to b spcl one😂😂😂😂,Positive
Tmara pasandeedaaa kam :-D,Positive
fav kaam hai hummara yaar.,Positive
hmri jugjmnt kaml ki ha nw 😛😂😂😂😂,Positive
Hahahaha bht hi enjoy karty thy hm gari me fiza k sath b ..,Positive
O haan fiza Hahha usy kdr bhool skty hahahha,Positive
Hahahahahahahahaha chalo chalo naiki aur pooch pooch 😂😂,Positive
"Tu jahan mein wahan, meri aziz:')",Positive
😂😂 men samjha ap ne likha h ao logon ko haj kratay hen lol,Positive
behtreen hogaya 😂😂😂,Positive
Jao ja k hajj kro,Positive
ajao yah hmara fvrt kam ha 😁,Positive
Hahaha hum to master hain is kaam mein 😂😂,Positive
ajao...ajj main mood main houn,Positive
Haa sahi gaalh aaah..,Positive
ao un k gunah kum krty hain 😂😂😂,Positive
Aur unhy pak krty hain😂😂,Positive
tbi wo white lgty hain 😂😂,Positive
Hmari tu prediction b sahe hoti hai,Positive
fiqr na faqaa aish kr kaka,Positive
"Jaani grand party hogi I am overexicted for your day😎😂❤
 Tu lagdi Lahore ki cause Tera Mohn chetaa hath kalay💁😂",Positive
Hahahah hawn kh dn gii😂 tm b mera taraf sy uncle aunty ko shukriya kh do😁,Positive
Hahahahah idea axhw h  api,Positive
Jizroor ..... Mei apne aunty  ka dilse Shukriya Ada krti huu 😂😂😂😂,Positive
anty ko thanksss bol...anty I love you😍 thanku so much😂,Positive
Mera to Salam bol pair chhuuuh anti ne mjhe Jo btya tha hahahahahahahahaha,Positive
yes of course i'm thankful to your parents namooni :* <3 <3,Positive
aunty ka bhot bhot shukriya krdena meri trf se,Positive
phupo ko thanks bolin meri trf sy bht bht 😂😂😂😂😂😂😂,Positive
Uncle anti ko dill ke gahriyoen sa thanks bolna mere traf sa 😍😂😂😂,Positive
aunty uncle ko yaad se thnku bolin meri taraf se 😉😂,Positive
aunty k lie meri taraf se aik chummi idhr aik chummi idhr :'),Positive
Woi naa khushaal gharanaaa hamra😂😍,Positive
bht shukria rna m apni dil diyan gallan kisko sunato😅,Positive
....mairi taraf sy uncle aunty ko thanks bolna,Positive
uncle anty ko meri taraf syyyh buht buht shukriaaaa kehna 😂😂,Positive
Hahahah ok ok Aur meri taraf say be uncle aunty ko shukriya keh Dena 😂😛,Positive
apny apny ami abu ko mri trf sy shukria. Bl dy,Positive
Hahahaha meri trf se b uncle aunty ka dhanaywaad😝😝,Positive
Kancha item dia h inshort😂😂😂😂,Positive
meri zindagi k tum anmol namonay 😝,Positive
Hahaha dekha hamari importance 😉,Positive
Dekh lo beta hum namono k bagair tumahara guzara bhi nahi 😉,Positive
shukriya bht bht aapke parents ka k mujhe yeh gift diya unho ney 🎁🎁,Positive
thank u uncle anty 😘😘 warna mai incmplte rh jati 😅😅,Positive
shukr hy ye namoona peuda kya. Thanks to uncle aunty 😂😂😂,Positive
By itkhtyr qahqa laga h myra😂😂😂😂 tm b bst sy opr ho,Positive
Hahahahahahahahahahhaha haso haso wanjo kri krto😁😁,Positive
tmahari ammi abu ka shukrea tmhari birthday pe kea tha ada mene..  ab tmhari b aari birthday unka b krungi😚😚,Positive
apni mama ko zarur thanks keh dena from my side 😘😘😘 loveeee bohat cute ho tm,Positive
Aunty ko bhttt bhttt shukriya kehna,Positive
Hahahahaha bas bas is khushi Mai Kal dilpasnd ki meethai le aana,Positive
humy  k parents ka shukriya krna chahiye,Positive
uncle aunty ko meri trf se 21 topon ki salamiii....😂😂,Positive
aunty ko mri trf se thanku bol dena with kissy,Positive
Its a Great Pleasure😉😂,Positive
mn khudhh aungi specially,Positive
dill ki gehraion se dhanywaar 😂,Positive
.😂 Thanks boldenA meri taraf Se,Positive
thank u bol apne parents ko meri taraf se 😂,Positive
Hahah wai I owe a special thankyou party to uncle n aunty then 😜,Positive
"D ke la ma ta tag koli,BTW a big thankooo😘😘😍😂",Positive
Beshak 😂😂 kissi or k bas ka kaam nh ya 😂😂,Positive
Sana Butt Should i tag your mama? 😂,Positive
tum na paida hti to kya hta mra,Positive
mama ko zaroor thanks kahin 😂😂😂😂😂😂,Positive
k momy daddy apka thankyu 😜😜😜,Positive
Thank u mommy daddy 😂😂😂tu tau nawafil parh apne ami abu k liye #iykwim😆😉,Positive
Yeah cx they deserv .... akhir koi km karnama nae kia shukrany k nafanil ada krny hi chaheay 😜,Positive
meri taraf se bohat shukriya.. :p,Positive
aunty specaily ap ka bht shukriya😂😂,Positive
antiii ne bht naik kaam kiya 😅❤,Positive
I grateful to ur parents 😂😂,Positive
Thank you so much aunti 😁,Positive
Main tou fakhar kar rahi hun 😂,Positive
Alhamdulillah ❤,Positive
mai shukar guzar hn ami abu ki :-/,Positive
special mili hon bai mein touuu,Positive
thankyou bolna ami baba ko 😂😂😂😂😂,Positive
ama ko thanx kehna apni😂😜,Positive
Still u r my buddy 😘,Positive
", 😂 Aunty Fari ko shukria kehna 😂",Positive
tell Aunty bauhat shukria 🤣,Positive
Haha i love u so much meri jan,Positive
thanks to parents,Positive
thankew sooo mch anty 😁😁,Positive
Hahaha .... ma zaror karu g,Positive
Hahaha thk ha g zror krna,Positive
😁😁👍,Positive
phupho thanku ❤️,Positive
thank u JAAN G 😉😜,Positive
Uncle aunty ka shukriya ada karna :D :P,Positive
uncle aunty shukriya karna 😂😂,Positive
Lol same to your parents as well,Positive
bht hi na shukari ho waisay,Positive
hahahhaa shokhi,Positive
Shukriya shehzadi auntie,Positive
meri maa ko khushi honi🤣,Positive
Anyaa ye tm.ne kha tha mjhe😂😂😂❤💋,Positive
Lol,Positive
aunty ko shukria kehna :D,Positive
Okay 😂,Positive
yaar apne mamaki id btaaa,Positive
chor tujhe unki nazar mn girana nhi chahti 😉,Positive
:D :D bs dil se dil ko raah hoti hai :D,Positive
Hahahahaha wah,Positive
uncle ko tag kron.?,Positive
Tum kro or agla 1 ghanta bad face to face thanks krna aya ga,Positive
robina aunty ka shukria adda kr dun unhe add kr ke 😂,Positive
Heer Naqvi,Positive
Hassan Husnain,Positive
reply kia na,Positive
Mjhay nahi tag Kia 😑🤬,Positive
YE aunty ko dikha do Please :D,Positive
uncle aunty ka num de,Positive
Haniya Khan.,Positive
Hahaha😂,Positive
Aunty i love you ❤💛,Positive
Zaib Usman😂,Positive
Hadia kh,Positive
atiya nisar,Positive
Tmhari ami ko b 😂,Positive
Haha Razzaque bhai ko b😂😂😂😂,Positive
Me b cemnt agency walo ka bra shukrguzar ho hahahah,Positive
aunty bht bht shukriya😂😂♥️,Positive
Hahahhahah😂,Positive
Heheheh..:)),Positive
Tumhari ama ko na??,Positive
Tag them please! !!!😍😍,Positive
Hahahaha main is main tumhain tag karnay wali thi.. 😂😂😂😂😂,Positive
Jo chpairh wo maarain agay se uska kya??😯,Positive
Anty uncle ko kehna zra😉😁,Positive
You too :p,Positive
hate u,Positive
Seriously Ajoobaa 😜,Positive
thank you much...one of a kind hun afterall...:D:D,Positive
Lol namoona nai anmol 😍,Positive
😂😂😂 apni amma ko prha dena plx 😂😂😂,Positive
Lkn mea q,Positive
pass on the message 💜😂,Positive
"hahaha, ni ye meri traf sy anti ko dikhao😂😂",Positive
Tmra knsa muun ni ha😕,Positive
Inbox kr dn gi.,Positive
say my thanks to uncle and aunty 😍😘😂,Positive
Love you too my honey 😘😘,Positive
Hahahah,Positive
naughty girl,Positive
hahhahahahha me bhi bolti hn rk,Positive
hahhahahha thanks fakhira parveen aqal deny k liye,Positive
Heheee,Positive
Aunti add hi ni warna me unki shaan me qaseeday likhta 😭😂,Positive
Hahahaha shukria 😂😂😂,Positive
aunty ko shukarya krdena,Positive
Hahahaha,Positive
Hahahha,Positive
bus is main se ice cream hata do😂,Positive
miss those midnight snacks 😄,Positive
Exactly😂😂,Positive
I haven't eaten any pizza and burger from last two months and,Positive
"Ek hi baat hai
Mai kron ya ap...",Positive
Soch dekho hamari kitni milti hai 😉😂,Positive
Hahahaha,Positive
Kulsoom Qureshi,Positive
Motuuu mjhe bhi bhej mai bhi jag luga,Positive
😂my version of dieting😁😂,Positive
Ye tmhary wali diet 😂😂,Positive
Buahhahaa yeahhh,Positive
We aren't haddi shah we're smart 😊😏😏,Positive
That's what I do 😂😂😂,Positive
Sta kho sa khwata nakige 😜,Positive
Ri da,Positive
mc donaldzzzz 😝😝,Positive
Tu gym khaaaa????,Positive
Haha,Positive
Many Kb pochaaa,Positive
Uff esi diet,Positive
Yumna too bhi shamil hey,Positive
Pemra complain ki hum kuch friends ne....sirf tension na lein practicaly khud kuch krne se hi ho ga,Positive
Bilkul sahi kaha,Positive
G Bilqul aisy he hai... I agree with u...,Positive
Beshak,Positive
Bilkuk sahi kaha .faisal qureshi ka kush kadre bhater show ha .,Positive
ALLAHTAALA ! Ummat pe Reham Frmay..aor ye lodhi jesey khabees logon k sharre sey naai Nasal ko Apni hifaazat meyn rakhey..Aameen,Positive
Done. 👍 Thanks Urdu Safha’s Admin for such initiative.,Positive
Agr hm awaam he inlog ko ehmiyat dena or dekhna or feed back dena chordenge to ink shows ki koi value nahi rehegi,Positive
Hum sab ko milkar Pakistan aur islami aqdaar ki hifazat Karni hay musalmaan hony ka farz ada krein,Positive
Sahil Lodhi ka kya? Ma bap zimadar WO keu apni bchieo ko bhjty in ke ghart kidr hote,Positive
